user_id	product_id	product_name	category	price	rating	quantity	purchased	timestamp
U0001	P0086	Perfume - Variant 2	Beauty	33.4	2	3	1	5/6/2024
U0001	P0119	Fitness Tracker - Variant 3	Sports	46.34	3	2	1	12/6/2024
U0001	P0112	Football - Variant 2	Sports	71.75	4	1	1	3/25/2024
U0001	P0092	Nail Polish Kit	Beauty	23.01	2	1	1	7/14/2024
U0001	P0093	Nail Polish Kit - Variant 2	Beauty	18.13	4	1	0	12/8/2024
U0001	P0118	Fitness Tracker - Variant 2	Sports	32.35	3	1	0	3/3/2024
U0001	P0090	Face Mask Set	Beauty	19.72	3	3	0	4/2/2024
U0001	P0109	Water Bottle - Variant 2	Sports	45.64	4	1	1	2/12/2024
U0001	P0042	Backpack - Variant 2	Fashion	23.08	2	1	1	10/3/2024
U0001	P0089	Hair Dryer - Variant 3	Beauty	27.59	2	3	1	12/30/2024
U0001	P0061	Blender - Variant 2	Home & Kitchen	27.47	3	2	0	9/6/2024
U0001	P0110	Water Bottle - Variant 3	Sports	57.47	4	2	0	11/22/2024
U0001	P0113	Football - Variant 3	Sports	36.42	3	3	0	2/24/2024
U0001	P0142	Children's Storybook - Variant 2	Books	18.29	2	1	0	4/10/2024
U0001	P0064	Bed Sheets Set	Home & Kitchen	92.94	1	2	0	7/26/2024
U0001	P0113	Football - Variant 3	Sports	36.42	4	3	1	6/29/2024
U0001	P0084	Lipstick - Variant 3	Beauty	13.19	3	3	1	7/2/2024
U0001	P0078	Sunscreen SPF50	Beauty	33.33	4	3	1	6/18/2024
U0001	P0114	Tennis Racket	Sports	49.81	4	1	1	10/4/2024
U0001	P0145	Poetry Collection - Variant 3	Books	15.46	3	3	0	5/18/2024
U0002	P0005	Bluetooth Speaker - Variant 3	Electronics	53.78	4	1	0	7/7/2024
U0002	P0011	USB-C Hub	Electronics	143	3	1	0	1/5/2024
U0002	P0016	Gaming Mouse	Electronics	38.63	4	2	1	3/14/2024
U0002	P0012	USB-C Hub - Variant 2	Electronics	36.09	2	1	1	10/31/2024
U0002	P0022	Webcam	Electronics	106.5	5	2	1	5/17/2024
U0002	P0121	Skipping Rope - Variant 2	Sports	74.87	3	2	0	3/27/2024
U0002	P0105	Resistance Bands - Variant 2	Sports	18.03	2	2	0	2/17/2024
U0002	P0095	Beard Trimmer - Variant 2	Beauty	23.23	3	1	1	4/1/2024
U0002	P0014	Power Bank	Electronics	70.68	4	2	1	12/21/2024
U0002	P0127	Self-Help Book	Books	13.13	4	2	1	7/7/2024
U0002	P0085	Perfume	Beauty	30.06	3	3	1	1/8/2024
U0002	P0082	Lipstick	Beauty	12.97	4	2	1	3/12/2024
U0002	P0017	Gaming Mouse - Variant 2	Electronics	95.82	4	1	0	9/27/2024
U0002	P0001	Wireless Earbuds	Electronics	126.81	2	3	1	8/13/2024
U0002	P0031	Cotton T-Shirt	Fashion	22.06	3	3	0	8/8/2024
U0002	P0103	Dumbbell Set - Variant 2	Sports	24.27	2	3	1	9/2/2024
U0002	P0002	Wireless Earbuds - Variant 2	Electronics	56.91	5	3	1	4/17/2024
U0002	P0007	Smartwatch - Variant 2	Electronics	74.04	4	3	1	1/26/2024
U0002	P0130	Cookbook	Books	25.89	1	1	0	8/1/2024
U0002	P0057	Coffee Maker - Variant 3	Home & Kitchen	95.59	4	1	0	10/11/2024
U0002	P0080	Shampoo	Beauty	13.54	3	2	1	11/11/2024
U0002	P0025	Tablet - Variant 2	Electronics	41.3	5	2	1	4/5/2024
U0002	P0023	Webcam - Variant 2	Electronics	79.6	4	2	1	1/22/2024
U0002	P0097	Body Lotion	Beauty	42.54	4	3	1	3/23/2024
U0002	P0077	Face Moisturizer - Variant 2	Beauty	44.26	5	1	1	6/15/2024
U0002	P0031	Cotton T-Shirt	Fashion	22.06	3	2	0	11/15/2024
U0002	P0118	Fitness Tracker - Variant 2	Sports	32.35	4	1	1	9/30/2024
U0002	P0001	Wireless Earbuds	Electronics	126.81	3	3	0	12/14/2024
U0002	P0078	Sunscreen SPF50	Beauty	33.33	5	2	1	11/14/2024
U0002	P0014	Power Bank	Electronics	70.68	2	3	1	8/1/2024
U0002	P0010	Laptop Stand - Variant 3	Electronics	146.57	2	3	0	6/18/2024
U0002	P0078	Sunscreen SPF50	Beauty	33.33	4	2	1	12/10/2024
U0002	P0080	Shampoo	Beauty	13.54	4	2	1	7/7/2024
U0002	P0001	Wireless Earbuds	Electronics	126.81	4	1	1	11/10/2024
U0002	P0011	USB-C Hub	Electronics	143	5	2	0	6/27/2024
U0002	P0134	Biography - Variant 2	Books	19.48	1	1	1	5/9/2024
U0002	P0031	Cotton T-Shirt	Fashion	22.06	3	2	0	2/11/2024
U0002	P0093	Nail Polish Kit - Variant 2	Beauty	18.13	3	3	1	1/2/2024
U0002	P0011	USB-C Hub	Electronics	143	5	2	1	3/11/2024
U0003	P0058	Non-stick Pan	Home & Kitchen	28.34	4	2	1	7/21/2024
U0003	P0062	Vacuum Cleaner	Home & Kitchen	44	4	1	1	5/31/2024
U0003	P0063	Vacuum Cleaner - Variant 2	Home & Kitchen	87.82	3	3	1	9/3/2024
U0003	P0057	Coffee Maker - Variant 3	Home & Kitchen	95.59	5	1	1	5/8/2024
U0003	P0065	Bed Sheets Set - Variant 2	Home & Kitchen	33.33	4	1	1	1/2/2024
U0003	P0058	Non-stick Pan	Home & Kitchen	28.34	5	2	1	6/10/2024
U0003	P0122	Gym Bag	Sports	52.75	2	2	0	2/8/2024
U0003	P0060	Blender	Home & Kitchen	43.99	3	3	0	9/2/2024
U0003	P0067	Table Lamp - Variant 2	Home & Kitchen	105.23	3	2	1	5/19/2024
U0003	P0146	History Book	Books	11.74	3	1	1	4/14/2024
U0003	P0075	Wall Clock - Variant 3	Home & Kitchen	67.37	5	3	1	10/20/2024
U0003	P0057	Coffee Maker - Variant 3	Home & Kitchen	95.59	3	2	1	7/13/2024
U0003	P0060	Blender	Home & Kitchen	43.99	5	2	1	7/24/2024
U0003	P0058	Non-stick Pan	Home & Kitchen	28.34	2	3	0	6/27/2024
U0003	P0072	Cutlery Set - Variant 3	Home & Kitchen	83.94	3	1	0	4/17/2024
U0003	P0056	Coffee Maker - Variant 2	Home & Kitchen	39.05	3	2	1	6/20/2024
U0003	P0070	Cutlery Set	Home & Kitchen	58.7	3	3	1	3/3/2024
U0003	P0066	Table Lamp	Home & Kitchen	82.67	4	1	1	7/28/2024
U0003	P0062	Vacuum Cleaner	Home & Kitchen	44	5	3	1	4/12/2024
U0003	P0063	Vacuum Cleaner - Variant 2	Home & Kitchen	87.82	3	3	0	7/22/2024
U0003	P0075	Wall Clock - Variant 3	Home & Kitchen	67.37	2	2	1	4/17/2024
U0003	P0134	Biography - Variant 2	Books	19.48	2	2	1	8/1/2024
U0003	P0062	Vacuum Cleaner	Home & Kitchen	44	4	1	1	12/23/2024
U0003	P0072	Cutlery Set - Variant 3	Home & Kitchen	83.94	4	3	1	12/14/2024
U0003	P0014	Power Bank	Electronics	70.68	1	3	0	11/23/2024
U0003	P0072	Cutlery Set - Variant 3	Home & Kitchen	83.94	5	2	1	1/2/2024
U0003	P0074	Wall Clock - Variant 2	Home & Kitchen	102.86	4	3	0	1/24/2024
U0003	P0064	Bed Sheets Set	Home & Kitchen	92.94	2	1	0	12/22/2024
U0003	P0110	Water Bottle - Variant 3	Sports	57.47	2	2	0	3/9/2024
U0003	P0004	Bluetooth Speaker - Variant 2	Electronics	53.79	3	1	0	8/29/2024
U0003	P0057	Coffee Maker - Variant 3	Home & Kitchen	95.59	3	2	1	3/10/2024
U0003	P0076	Face Moisturizer	Beauty	48.93	3	3	0	5/9/2024
U0003	P0070	Cutlery Set	Home & Kitchen	58.7	4	3	1	11/8/2024
U0004	P0045	Formal Shirt - Variant 2	Fashion	80.51	3	1	0	9/26/2024
U0004	P0058	Non-stick Pan	Home & Kitchen	28.34	4	1	1	5/13/2024
U0004	P0061	Blender - Variant 2	Home & Kitchen	27.47	4	2	1	1/15/2024
U0004	P0042	Backpack - Variant 2	Fashion	23.08	4	2	1	3/9/2024
U0004	P0073	Wall Clock	Home & Kitchen	81.51	4	3	0	8/21/2024
U0004	P0042	Backpack - Variant 2	Fashion	23.08	3	1	1	10/16/2024
U0004	P0060	Blender	Home & Kitchen	43.99	5	2	1	4/13/2024
U0004	P0134	Biography - Variant 2	Books	19.48	4	1	0	4/12/2024
U0004	P0030	Denim Jacket - Variant 2	Fashion	74.76	4	2	1	2/21/2024
U0004	P0062	Vacuum Cleaner	Home & Kitchen	44	2	2	1	3/26/2024
U0004	P0039	Wrist Watch - Variant 2	Fashion	41.73	5	2	0	7/8/2024
U0004	P0055	Coffee Maker	Home & Kitchen	73.4	4	1	0	11/26/2024
U0004	P0071	Cutlery Set - Variant 2	Home & Kitchen	84.19	3	2	1	11/28/2024
U0004	P0072	Cutlery Set - Variant 3	Home & Kitchen	83.94	4	2	1	2/15/2024
U0004	P0068	Storage Boxes	Home & Kitchen	80.29	5	1	0	2/5/2024
